student_id,risk_score,risk_level,predicted_dropout_reason,updated_at
485,66,High,Attendance issues,2026-04-24T17:41:32.378786Z
486,83,High,Low engagement,2026-05-06T17:41:32.378786Z
487,81,High,Mental health concerns,2026-05-06T17:41:32.378786Z
488,69,High,Mental health concerns,2026-05-07T17:41:32.378786Z
489,71,High,Poor academic performance,2026-04-26T17:41:32.378786Z
490,76,High,Attendance issues,2026-04-30T17:41:32.378786Z
491,57,Medium,,2026-04-25T17:41:32.378786Z
492,81,High,Mental health concerns,2026-04-28T17:41:32.378786Z
493,84,High,Low engagement,2026-04-24T17:41:32.378786Z
494,52,Medium,,2026-05-01T17:41:32.378786Z
495,80,High,Financial constraints,2026-04-25T17:41:32.378786Z
496,48,Medium,,2026-04-24T17:41:32.378786Z
497,73,High,Financial constraints,2026-04-26T17:41:32.378786Z
498,57,Medium,,2026-05-03T17:41:32.378786Z
499,47,Medium,,2026-04-25T17:41:32.378786Z
500,55,Medium,,2026-04-28T17:41:32.378786Z
